DateTime,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Date,Time
2020-03-22 23:59:00,5812.0,5820.0,5805.41,5813.15,14.22544736,82704.018519,5813.8079195,2020-03-22,23:59:00
2020-03-23 23:59:00,6508.85,6512.8,6491.57,6493.51,4.29620597,27913.013041000002,6497.1310119,2020-03-23,23:59:00
2020-03-24 23:59:00,6773.78,6773.79,6768.64,6768.64,0.73889897,5002.702018600001,6770.4817867,2020-03-24,23:59:00
2020-03-25 23:59:00,6695.5,6698.5,6688.72,6692.22,3.00156385,20095.465016,6694.998347600001,2020-03-25,23:59:00
2020-03-26 23:59:00,6767.39,6767.39,6752.65,6760.72,4.12262027,27865.438758999997,6759.1572674,2020-03-26,23:59:00
2020-03-27 23:59:00,6379.27,6380.86,6367.22,6376.03,3.81520773,24332.504974,6377.766742,2020-03-27,23:59:00
2020-03-28 23:59:00,6255.09,6255.09,6253.08,6253.08,0.935,5846.65995,6253.112246,2020-03-28,23:59:00
2020-03-29 23:59:00,5882.77,5882.77,5870.06,5870.9,7.5995045,44646.708949,5874.9499983000005,2020-03-29,23:59:00
2020-03-30 23:59:00,6407.77,6407.77,6407.77,6407.77,3.9021,25003.759317,6407.77,2020-03-30,23:59:00
2020-03-31 23:59:00,6420.79,6428.08,6420.65,6421.14,0.20248999,1300.9120635,6424.574684100001,2020-03-31,23:59:00
2020-04-01 23:59:00,6650.56,6658.93,6645.68,6652.07,2.83763838,18874.074119,6651.3317033,2020-04-01,23:59:00
2020-04-02 23:59:00,6812.5,6814.18,6801.99,6801.99,0.29359976,1999.5935338,6810.6102464000005,2020-04-02,23:59:00
2020-04-03 23:59:00,6742.57,6742.57,6742.57,6742.57,0.01174686,79.20402583,6742.57,2020-04-03,23:59:00
2020-04-04 23:59:00,6874.41,6879.61,6874.41,6879.61,0.35012297,2408.3876105,6878.690679800001,2020-04-04,23:59:00
2020-04-05 23:59:00,6779.13,6779.13,6775.2,6775.2,0.23710096,1606.7806779999999,6776.7784574,2020-04-05,23:59:00
